# id|tipo|nome|colore|grammi|cm|amo|prezzo|liv_wiki|img
# ESCHE ARTIFICIALI - dati veri dal wiki di Fishing Planet
# tipo: cucchiaino, rotante, minnow, jig, siliconico, mare
1|cucchiaino|Casting Spoon|Silver|5|3|#2|100|3|388.png
2|cucchiaino|Casting Spoon|Gold|5|3|#2|100|3|389.png
3|cucchiaino|Slop Spoon|Silver|5|4|#4|60|3|723.png
4|cucchiaino|Slop Spoon|Gold|5|4|#4|60|3|724.png
5|cucchiaino|Casting Spoon|Silver|9|3|#1|130|4|388.png
6|cucchiaino|Casting Spoon|Gold|9|3|#1|130|4|389.png
7|cucchiaino|Slop Spoon|Silver|7|4|#2|80|4|723.png
8|cucchiaino|Slop Spoon|Gold|7|4|#2|80|4|724.png
9|cucchiaino|Narrow Spoon|Silver|7|5|#1/0|210|5|936.png
10|cucchiaino|Narrow Spoon|Gold|7|5|#1/0|210|5|937.png
11|cucchiaino|Slop Spoon|Silver|9|5|#1|100|5|723.png
12|cucchiaino|Slop Spoon|Gold|9|5|#1|100|5|724.png
13|cucchiaino|Casting Spoon|Silver|7|5|#1/0|170|7|388.png
14|cucchiaino|Casting Spoon|Gold|7|5|#1/0|170|7|389.png
15|cucchiaino|Narrow Spoon|Ammolite|7|5|#1/0|260|7|939.png
16|cucchiaino|Narrow Spoon|Black Gloss|7|5|#1/0|260|7|941.png
17|cucchiaino|Casting Spoon|Blue Holographic|7|5|#1/0|260|8|2706.png
18|cucchiaino|Casting Spoon|Red Holographic|7|5|#1/0|260|8|2709.png
19|cucchiaino|Slop Spoon|Silver|14|5|#1/0|120|10|723.png
20|cucchiaino|Slop Spoon|Gold|14|5|#1/0|120|10|724.png
21|cucchiaino|Slop Spoon|Silver|21|6.5|#2/0|150|11|723.png
22|cucchiaino|Slop Spoon|Gold|21|6.5|#2/0|150|11|724.png
23|cucchiaino|Nano Spoon|Black & Pink|2|2.5|#2|200|12|1575.png
24|cucchiaino|Nano Spoon|Black & Pink|4|3.5|#1|250|12|1575.png
25|cucchiaino|Nano Spoon|Green & Black|2|2.5|#2|200|12|1573.png
26|cucchiaino|Nano Spoon|Green & Black|4|3.5|#1|250|12|1573.png
27|cucchiaino|Nano Spoon|Silver & Green Perch|2|2.5|#2|200|12|1577.png
28|cucchiaino|Nano Spoon|Silver & Green Perch|4|3.5|#1|250|12|1577.png
29|cucchiaino|Casting Spoon|Silver|14|5|#2/0|220|13|388.png
30|cucchiaino|Casting Spoon|Gold|14|5|#2/0|220|13|389.png
31|cucchiaino|Medium Spoon|Silver|7|5|#1/0|240|14|930.png
32|cucchiaino|Medium Spoon|Gold|7|5|#1/0|240|14|923.png
33|cucchiaino|Medium Spoon|Lemon Tiger|7|5|#1/0|270|15|934.png
34|cucchiaino|Medium Spoon|Red Tiger|7|5|#1/0|270|15|932.png
35|cucchiaino|Narrow Spoon|Green Holographic|21|9|#3/0|500|17|2701.png
36|cucchiaino|Narrow Spoon|Red Holographic|21|9|#3/0|500|17|2699.png
37|cucchiaino|Medium Spoon|Lemon Tiger|14|7.5|#3/0|380|22|934.png
38|cucchiaino|Medium Spoon|Red Tiger|14|7.5|#3/0|380|22|932.png
39|cucchiaino|Medium Spoon|Lemon Tiger|42|11|#4/0|420|24|934.png
40|cucchiaino|Medium Spoon|Red Tiger|42|11|#4/0|420|24|932.png
41|cucchiaino|Nano Spoon|Black & Pink|6|4.5|#1/0|350|27|1575.png
42|cucchiaino|Nano Spoon|Green & Black|6|4.5|#1/0|350|27|1573.png
43|cucchiaino|Nano Spoon|Silver & Green Perch|6|4.5|#1/0|350|27|1577.png
44|cucchiaino|Casting Spoon|Silver|21|6|#3/0|280|30|388.png
45|cucchiaino|Casting Spoon|Gold|21|6|#3/0|280|30|389.png
46|cucchiaino|Casting Spoon|Blue Holographic|42|10.5|#5/0|550|32|2706.png
47|cucchiaino|Casting Spoon|Red Holographic|42|10.5|#5/0|550|32|2709.png
48|cucchiaino|Medium Spoon|Lemon Tiger|24|10|#6/0|510|36|934.png
49|cucchiaino|Medium Spoon|Red Tiger|24|10|#6/0|510|36|932.png
50|cucchiaino|Medium Spoon|Rose and Blue Trout Holographic|28|10|#4/0|600|38|2720.png
51|cucchiaino|Medium Spoon|Rainbow Holographic|28|10|#4/0|600|38|2719.png
52|cucchiaino|Single Spoon|Green and Black|10|28|#2/0|800|40|2590.png
53|cucchiaino|Single Spoon|Green and Black|12.5|42|#4/0|1000|40|2590.png
54|cucchiaino|Single Spoon|Black and Pink|10|28|#2/0|800|40|2592.png
55|cucchiaino|Single Spoon|Black and Pink|12.5|42|#4/0|1000|40|2592.png
56|cucchiaino|Cicada|Green/Yellow/Silver|12|6|#2/0|1050|46|12935.png
57|cucchiaino|Cicada|Silver|12|6|#2/0|1050|46|12936.png
58|cucchiaino|Cicada|Green/Yellow/Silver|18|7|#3/0|1290|47|12935.png
59|cucchiaino|Cicada|Silver|18|7|#3/0|1290|47|12936.png
60|cucchiaino|Cicada|Green/Yellow/Silver|28|9|#5/0|1580|48|12935.png
61|cucchiaino|Cicada|Silver|28|9|#5/0|1580|48|12936.png
62|cucchiaino|Narrow Spoon|Silver|28|7|#4/0|1150|48|936.png
63|cucchiaino|Narrow Spoon|Gold|28|7|#4/0|1150|48|937.png
64|cucchiaino|Narrow Spoon|Ammolite|28|7|#4/0|1150|48|939.png
65|cucchiaino|Narrow Spoon|Black Gloss|28|7|#4/0|1150|48|941.png
66|cucchiaino|Cicada|Green/Yellow/Silver|36|9|#7/0|1720|49|12935.png
67|cucchiaino|Cicada|Silver|36|9|#7/0|1720|49|12936.png
68|cucchiaino|Jigging Spoon|Black/Silver|56|12|#6/0|1280|64|10540.png
69|cucchiaino|Jigging Spoon|Yellow/Silver|56|12|#6/0|1280|64|10542.png
70|cucchiaino|Jigging Spoon|Blue/Silver|56|12|#6/0|1280|64|10548.png
71|cucchiaino|Jigging Spoon|Black/Silver|71|14|#7/0|1560|66|10540.png
72|cucchiaino|Jigging Spoon|Yellow/Silver|71|14|#7/0|1560|66|10542.png
73|cucchiaino|Jigging Spoon|Blue/Silver|71|14|#7/0|1560|66|10548.png
74|cucchiaino|Jigging Spoon|Black/Silver|84|16|#8/0|1770|70|10540.png
75|cucchiaino|Jigging Spoon|Yellow/Silver|84|16|#8/0|1770|70|10542.png
76|cucchiaino|Jigging Spoon|Blue/Silver|84|16|#8/0|1770|70|10548.png
77|cucchiaino|Flat Spoon|Silver|7|7|#2/0|2110|71|10826.png
78|cucchiaino|Flat Spoon|Copper|7|7|#2/0|2110|71|10833.png
79|cucchiaino|Flat Spoon|Silver|18|8|#3/0|2250|75|10826.png
80|cucchiaino|Flat Spoon|Copper|18|8|#3/0|2250|75|10833.png
81|cucchiaino|Flat Spoon|Silver|28|9|#4/0|2340|76|10826.png
82|cucchiaino|Flat Spoon|Copper|28|9|#4/0|2340|76|10833.png
83|cucchiaino|Flat Spoon|Silver|42|10|#6/0|2525|79|10826.png
84|cucchiaino|Flat Spoon|Copper|42|10|#6/0|2525|79|10833.png
85|cucchiaino|Flat Spoon|Silver|56|12|#8/0|2670|80|10826.png
86|cucchiaino|Flat Spoon|Copper|56|12|#8/0|2670|80|10833.png
87|jig||Watermelon|4||#1/0|350|10|951.png
88|jig||White|4||#1/0|350|10|960.png
89|jig||Black&Blue|4||#1/0|350|10|950.png
90|jig||Watermelon|5||#2/0|430|11|951.png
91|jig||Watermelon|7||#2/0|460|11|951.png
92|jig||White|5||#2/0|430|11|960.png
93|jig||White|7||#2/0|460|11|960.png
94|jig||Black&Blue|5||#2/0|430|11|950.png
95|jig||Black&Blue|7||#2/0|460|11|950.png
96|jig||Pumpkin Melon|4||#3/0|500|12|955.png
97|jig||Green Salad White|4||#3/0|500|12|957.png
98|jig||Pumpkin Melon|9||#3/0|550|13|955.png
99|jig||Green Salad White|9||#3/0|550|13|957.png
100|jig||Watermelon|28||#2/0|520|18|951.png
101|jig||White|28||#2/0|520|18|960.png
102|jig||Black&Blue|28||#2/0|520|18|950.png
103|jig||Pumpkin Melon|28||#2/0|520|18|955.png
104|jig||Green Salad White|28||#2/0|520|18|957.png
105|jig||Watermelon|21||#3/0|600|20|951.png
106|jig||White|21||#3/0|600|20|960.png
107|jig||Black&Blue|21||#3/0|600|20|950.png
108|jig||Pumpkin Melon|21||#3/0|600|20|955.png
109|jig||Green Salad White|21||#3/0|600|20|957.png
110|jig||Green Pumpkin|14||#3/0|700|20|963.png
111|jig||Acid Yellow Brown|14||#3/0|700|20|967.png
112|jig||Watermelon|14||#4/0|660|26|951.png
113|jig||White|14||#4/0|660|26|960.png
114|jig||Black&Blue|14||#4/0|660|26|950.png
115|jig||Transparent Weed|28||#4/0|780|27|959.png
116|jig||Brown Orange|28||#4/0|780|27|961.png
117|jig||Acid Yellow Brown|28||#4/0|780|27|967.png
118|jig||Black&Blue|42||#4/0|830|28|950.png
119|jig||Pumpkin Melon|42||#4/0|830|28|955.png
120|jig||Brown Orange|56||#6/0|1000|31|961.png
121|jig||Acid Yellow Brown|56||#6/0|1000|31|967.png
122|mare|Mini Pilker|Blue/Pink|35|10|#3/0|8330|81|12372.png
123|mare|Mini Pilker|Striped Green|35|10|#3/0|8330|81|12373.png
124|mare|Mini Pilker|Striped Grey|35|10|#3/0|8330|81|12374.png
125|mare|Bucktail|Green/White|14|7|#3/0|3780|82|12384.png
126|mare|Bucktail|Pink/White|14|7|#3/0|3780|82|12385.png
127|mare|Bucktail|White/Silver|14|7|#3/0|3780|82|12387.png
128|mare|Mini Pilker|Blue/Pink|50|11|#3/0|9410|82|12372.png
129|mare|Mini Pilker|Striped Green|50|11|#3/0|9410|82|12373.png
130|mare|Mini Pilker|Striped Grey|50|11|#3/0|9410|82|12374.png
131|mare|Bucktail|Green/White|21|9|#4/0|4985|83|12384.png
