# id|nome|tipo|immagine   - nomi veri dal wiki di Fishing Planet
0|African Giant Water Bug|naturale|African_Giant_Water_Bug.png
1|Amazonian Sardine|naturale|Amazonian_Sardine.png
2|Aracu Minnow|naturale|Aracu_Minnow.png
3|Artificial Salmon Eggs|naturale|Artificial_Salmon_Eggs.png
4|Atlantic Herring|naturale|Atlantic_Herring.png
5|Atlantic Mackerel ut Baits|naturale|Atlantic_Mackerel_ut_Baits.png
6|Banana Bread|naturale|Banana_Bread.png
7|Banded Aracu Minnow|naturale|Banded_Aracu_Minnow.png
8|Bark Beetle Larva|naturale|Bark_Beetle_Larva.png
9|Black Lugworms|naturale|Black_Lugworms.png
10|Blood|naturale|Blood.png
11|Bloodworms|naturale|Bloodworms.png
12|Bluey|naturale|Bluey.png
13|Boiled Red Roe|naturale|Boiled_Red_Roe.png
14|Boilies|naturale|Boilies.png
15|Bread|naturale|Bread.png
16|Bread with Honey|naturale|Bread_with_Honey.png
17|Buffalo Kidneys|naturale|Buffalo_Kidneys.png
18|Caddis Larva|naturale|Caddis_Larva.png
19|Camu-Camu|naturale|Camu-Camu.png
20|Canned Meat|naturale|Canned_Meat.png
21|Caster Maggots|naturale|Caster_Maggots.png
22|Centipedes|naturale|Centipedes.png
23|Cheese|naturale|Cheese.png
24|Chicken Liver|naturale|Chicken_Liver.png
25|Clam Meat|naturale|Clam_Meat.png
26|Cockchafer|naturale|Cockchafer.png
27|Common Minnow|naturale|Common_Minnow.png
28|Corn|naturale|Corn.png
29|Crab|naturale|Crab.png
30|Crawfish|naturale|Crawfish.png
31|Crawfish Cut|naturale|Crawfish_Cut.png
32|Crickets|naturale|Crickets.png
33|Dead Lambari Fish|naturale|Dead_Lambari_Fish.png
34|Dobsonfly|naturale|Dobsonfly.png
35|Dobsonfly Larva|naturale|Dobsonfly_Larva.png
36|Dough Balls|naturale|Dough_Balls.png
37|Dragonflies|naturale|Dragonflies.png
38|Duck Mussel Meat|naturale|Duck_Mussel_Meat.png
39|Finger Mullets|naturale|Finger_Mullets.png
40|Fish Head|naturale|Fish_Head.png
41|Flies|naturale|Flies.png
42|Freshwater Crab|naturale|Freshwater_Crab.png
43|Freshwater Prawns|naturale|Freshwater_Prawns.png
44|Frog|naturale|Frog.png
45|Giant Silk Moth Larva|naturale|Giant_Silk_Moth_Larva.png
46|Giant Tiger Prawn|naturale|Giant_Tiger_Prawn.png
47|Grasshoppers|naturale|Grasshoppers.png
48|Gulf Shrimp|naturale|Gulf_Shrimp.png
49|Gutted Fish|naturale|Gutted_Fish.png
50|Huge Cutbait|naturale|Huge_Cutbait.png
51|Indo-Pacific Swimming Crab|naturale|Indo-Pacific_Swimming_Crab.png
52|Japanese Anchovy|naturale|Japanese_Anchovy.png
53|Japanese Flying Squid|naturale|Japanese_Flying_Squid.png
54|Japanese Jack Mackerel|naturale|Japanese_Jack_Mackerel.png
55|Japanese Spiny Lobster|naturale|Japanese_Spiny_Lobster.png
56|Jauari Palm Fruit|naturale|Jauari_Palm_Fruit.png
57|Large Cutbait|naturale|Large_Cutbait.png
58|Large Fish Strips|naturale|Large_Fish_Strips.png
59|Large Liver|naturale|Large_Liver.png
60|Large Minnow|naturale|Large_Minnow.png
61|Leeches|naturale|Leeches.png
62|Lesser Sand Eel|naturale|Lesser_Sand_Eel.png
63|Maggots|naturale|Maggots.png
64|Marshmallows|naturale|Marshmallows.png
65|Mayflies|naturale|Mayflies.png
66|Meat Chunk|naturale|Meat_Chunk.png
67|Medium Cutbait|naturale|Medium_Cutbait.png
68|Medium Fish Strips|naturale|Medium_Fish_Strips.png
69|Mole Cricket Larva|naturale|Mole_Cricket_Larva.png
70|Moriche Palm Fruit|naturale|Moriche_Palm_Fruit.png
71|Mussel Meat|naturale|Mussel_Meat.png
72|Natal Rock Oyster Meat|naturale|Natal_Rock_Oyster_Meat.png
73|Natural Eggs|naturale|Natural_Eggs.png
74|Night Crawler|naturale|Night_Crawler.png
75|Oat-flakes|naturale|Oat-flakes.png
76|Pea dough|naturale|Pea_dough.png
77|Pearl Barley|naturale|Pearl_Barley.png
78|Peas|naturale|Peas.png
79|Peeler Crab|naturale|Peeler_Crab.png
80|Pellets|naturale|Pellets.png
81|Pet Food|naturale|Pet_Food.png
82|Pinkies|naturale|Pinkies.png
83|Ragworms|naturale|Ragworms.png
84|Razor Shell|naturale|Razor_Shell.png
85|Red Worms|naturale|Red_Worms.png
86|Rotten Minnows|naturale|Rotten_Minnows.png
