# id|tipo|marca|prodotto|mm|kg_carico|metri|prezzo|livello|img
# dati veri dal catalogo di riferimento - ogni tabella letta a se'
1|mono|Garry Scott|All-round mono fishing line|0.12|0.90|137|100|1|376.png
2|mono|Garry Scott|All-round mono fishing line|0.12|0.90|274|140|2|1667.png
3|mono|Garry Scott|All-round mono fishing line|0.12|0.90|457|200|2|1937.png
4|mono|Garry Scott|All-round mono fishing line|0.18|1.40|137|120|3|377.png
5|mono|Garry Scott|All-round mono fishing line|0.18|1.40|274|180|4|1669.png
6|mono|Garry Scott|All-round mono fishing line|0.18|1.40|457|260|4|1941.png
7|mono|Garry Scott|All-round mono fishing line|0.20|1.80|137|140|6|378.png
8|mono|Garry Scott|All-round mono fishing line|0.20|1.80|274|210|7|1671.png
9|mono|Garry Scott|All-round mono fishing line|0.20|1.80|457|315|7|1947.png
10|mono|Garry Scott|All-round mono fishing line|0.23|2.70|137|200|10|379.png
11|mono|Garry Scott|All-round mono fishing line|0.23|2.70|274|300|11|1673.png
12|mono|Garry Scott|All-round mono fishing line|0.23|2.70|457|440|12|1949.png
13|mono|Garry Scott|All-round mono fishing line|0.25|3.60|137|240|14|380.png
14|mono|Garry Scott|All-round mono fishing line|0.25|3.60|274|360|15|1675.png
15|mono|Garry Scott|All-round mono fishing line|0.25|3.60|457|540|15|1951.png
16|mono|Garry Scott|All-round mono fishing line|0.30|5.50|137|300|20|381.png
17|mono|Garry Scott|All-round mono fishing line|0.30|5.50|274|440|21|1677.png
18|mono|Garry Scott|All-round mono fishing line|0.30|5.50|457|650|22|1959.png
19|mono|Garry Scott|All-round mono fishing line|0.35|7.30|137|360|24|446.png
20|mono|Garry Scott|All-round mono fishing line|0.35|7.30|274|540|25|1679.png
21|mono|Garry Scott|All-round mono fishing line|0.35|7.30|457|800|26|1963.png
22|mono|Garry Scott|All-round mono fishing line|0.40|9.10|137|420|27|447.png
23|mono|Garry Scott|All-round mono fishing line|0.40|9.10|274|630|28|1681.png
24|mono|Garry Scott|All-round mono fishing line|0.40|9.10|457|950|29|1967.png
25|mono|Garry Scott|All-round mono fishing line|0.45|11.30|137|560|33|448.png
26|mono|Garry Scott|All-round mono fishing line|0.45|11.30|274|840|34|1683.png
27|mono|Garry Scott|All-round mono fishing line|0.45|11.30|457|1250|35|1971.png
28|mono|Garry Scott|All-round mono fishing line|0.50|14.50|137|600|37|449.png
29|mono|Garry Scott|All-round mono fishing line|0.50|14.50|274|900|38|1685.png
30|mono|Garry Scott|All-round mono fishing line|0.50|14.50|457|1350|39|1975.png
31|mono|Garry Scott|All-round mono fishing line|0.55|17.40|137|790|41|5262.png
32|mono|Garry Scott|All-round mono fishing line|0.55|17.40|274|1185|43|5264.png
33|mono|Garry Scott|All-round mono fishing line|0.55|17.40|457|1778|45|5266.png
34|mono|UL-CHUBER|Carp mono fishing line|0.60|19.00|137|850|46|6122.png
35|mono|UL-CHUBER|Carp mono fishing line|0.60|19.00|274|1275|46|6124.png
36|mono|UL-CHUBER|Carp mono fishing line|0.60|19.00|457|1910|46|6126.png
37|mono|UL-CHUBER|Carp mono fishing line|0.65|23.00|137|1000|48|6130.png
38|mono|UL-CHUBER|Carp mono fishing line|0.65|23.00|274|1500|48|6132.png
39|mono|UL-CHUBER|Carp mono fishing line|0.65|23.00|457|2250|48|6134.png
40|mono|UL-CHUBER|Carp mono fishing line|0.70|27.00|137|1220|49|6138.png
41|mono|UL-CHUBER|Carp mono fishing line|0.70|27.00|274|1830|49|6140.png
42|mono|UL-CHUBER|Carp mono fishing line|0.70|27.00|457|2745|49|6142.png
43|mono|UL-CHUBER|Carp mono fishing line|0.75|29.00|137|1550|50|6146.png
44|mono|UL-CHUBER|Carp mono fishing line|0.75|29.00|274|2325|50|6148.png
45|mono|UL-CHUBER|Carp mono fishing line|0.75|29.00|457|3485|50|6150.png
46|mono|UL-CHUBER|Carp mono fishing line|0.80|33.20|137|2100|55|8356.png
47|mono|UL-CHUBER|Carp mono fishing line|0.80|33.20|274|3290|55|8358.png
48|mono|UL-CHUBER|Carp mono fishing line|0.80|33.20|457|4900|55|8360.png
49|mono|UL-CHUBER|Carp mono fishing line|0.85|38.00|137|2352|67|10577.png
50|mono|UL-CHUBER|Carp mono fishing line|0.85|38.00|274|4606|67|10581.png
51|mono|UL-CHUBER|Carp mono fishing line|0.85|38.00|457|5585|67|10583.png
52|mono|UL-CHUBER|Carp mono fishing line|0.87|41.00|137|3225|77|10873.png
53|mono|UL-CHUBER|Carp mono fishing line|0.87|41.00|274|5115|78|10877.png
54|mono|UL-CHUBER|Carp mono fishing line|0.87|41.00|457|6290|78|10879.png
55|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.20|2.70|137|240|1|382.png
56|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.20|2.70|274|360|1|1703.png
57|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.20|2.70|457|530|1|1979.png
58|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.23|3.60|137|280|11|383.png
59|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.23|3.60|274|420|12|1705.png
60|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.23|3.60|457|630|13|1981.png
61|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.28|4.50|137|345|16|384.png
62|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.28|4.50|274|510|17|1707.png
63|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.28|4.50|457|750|18|1983.png
64|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.30|5.50|137|370|20|450.png
65|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.30|5.50|274|555|21|1709.png
66|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.30|5.50|457|825|22|1985.png
67|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.35|6.80|137|480|23|451.png
68|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.35|6.80|274|725|24|1712.png
69|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.35|6.80|457|1100|25|1995.png
70|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.40|9.10|137|615|28|452.png
71|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.40|9.10|274|925|29|1714.png
72|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.40|9.10|457|1375|29|1999.png
73|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.45|11.30|137|625|33|453.png
74|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.45|11.30|274|935|34|1716.png
75|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.45|11.30|457|1400|35|2003.png
76|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.55|15.80|137|725|38|2627.png
77|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.55|15.80|274|1100|39|2622.png
78|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.55|15.80|457|1650|39|2624.png
79|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.60|18.10|137|830|39|2637.png
80|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.60|18.10|274|1245|40|2632.png
81|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.60|18.10|457|1850|40|2630.png
82|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.65|20.00|137|960|49|5278.png
83|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.65|20.00|274|1440|50|5280.png
84|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.65|20.00|457|2160|50|5282.png
85|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.70|24.00|137|1100|48|8336.png
86|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.70|24.00|274|1639|49|8334.png
87|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.70|24.00|457|2390|50|8332.png
88|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.75|27.50|137|1246|51|8340.png
89|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.75|27.50|274|2100|52|8342.png
90|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.75|27.50|457|3000|53|8344.png
91|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.80|32.00|137|1890|55|8348.png
92|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.80|32.00|274|2961|55|8350.png
93|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.80|32.00|457|4410|55|8352.png
94|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.85|36.00|137|2079|65|10569.png
95|fluoro|Garry Scott|All-round fluorocarbon fishing line|0.85|36.00|274|3343|65|10571.png
