# id|tipo|nome|taglia|kg_pesce_max|kg_totale|materiale|prezzo|liv_wiki
# nasse (keepnet) e fili (stringer) - dati veri dal wiki di Fishing Planet
# il filo costa meno ma rovina il pesce; la nassa lo tiene vivo
1|filo|FishCell|XS|3.50|10.00|Stainless Steel|1200|6
2|filo|FishJail|XS|4.00|15.00|Stainless Steel|2880|10
3|filo|FishJail|S|6.00|20.00|Stainless Steel|5160|13
4|filo|FishJail|L|15.00|50.00|Stainless Steel|11520|14
5|filo|FishJail|M|4.00|30.00|Stainless Steel|7680|16
6|filo|FishBastille|L|50.00|150.00|Stainless Steel|65230|39
7|filo|FishTower|XL|75.00|250.00|Stainless Steel|145230|45
8|filo|FishCasemate|L|90.00|330.00|Stainless Steel|182040|56
9|filo|FishCasemate|XL|150.00|450.00|Stainless Steel|255800|68
10|nassa|FishHut|XS|1.00|2.00|Nylon|100|1
11|nassa|FishHut|S|1.50|4.00|Nylon|320|2
12|nassa|FishHut|M|3.00|7.00|Nylon|640|4
13|nassa|FishHut|L|2.50|12.00|Nylon|2000|8
14|nassa|FishCabin|XS|3.50|25.00|Nylon|6620|15
15|nassa|FishCabin|S|5.00|25.00|Nylon|8080|18
16|nassa|FishCabin|M|7.00|30.00|Nylon|9220|20
17|nassa|FishCabin|L|10.00|40.00|Nylon|14020|23
18|nassa|FishFort|XS|10.00|70.00|Nylon|18045|26
19|nassa|FishFort|S|15.00|90.00|Nylon|24580|28
20|nassa|FishFort|M|20.00|100.00|Nylon|37500|31
21|nassa|FishFort|L|20.00|120.00|Nylon|42770|34
22|nassa|FishFort|XL|25.00|150.00|Nylon|66870|36
23|nassa|FishCastle|L|50.00|200.00|Nylon|100000|40
24|nassa|FishCastle|XL|60.00|220.00|Nylon|120890|44
25|nassa|FishCitadel|L|75.00|250.00|Nylon|157340|48
26|nassa|FishCitadel|XL|100.00|300.00|Nylon|185000|50
27|nassa|FishStronghold|M|125.00|400.00|Nylon|205400|53
28|nassa|FishStronghold|L|140.00|500.00|Nylon|257500|55
29|nassa|FishGarrison|L|170.00|550.00|Nylon|298425|64
30|nassa|FishGarrison|XL|220.00|620.00|Nylon|347220|70
31|nassa|FishGarrison|Pro|220.00|700.00|Nylon|390760|80
