# I NOMI DEI PESCI IN ITALIANO.
# nome_inglese|nome_italiano
# Sono i nomi comuni italiani veri della specie dove esistono.
# NOTA: per 93 specie senza nome comune italiano il nome e' un ADATTAMENTO NOSTRO
# (traduzione del nome inglese o nome locale invariato: Apapa, Biara, Wahoo, Walleye...).
African Big Eye Catfish|Pesce gatto africano occhione
African Pike|Luccio africano
African Sharptooth Catfish|pesce gatto africano
African Tigerfish|pesce tigre africano
Alaska Blackfish|Pesce nero dell'Alaska
Albacore|alalunga
Alligator Gar|lepisosteo alligatore
American Gizzard Shad|Alosa americana
American Shad|alosa americana
Amur Bitterling|rodeo dell'Amur
Apapa|Apapa
Arapaima|arapaima
Arctic Char|salmerino artico
Arctic Grayling|temolo artico
Asp|aspio
Atlantic Cod|merluzzo nordico
Atlantic Halibut|ippoglosso atlantico
Atlantic Herring|aringa atlantica
Atlantic Horse Mackerel|sugarello
Atlantic Mackerel|sgombro
Atlantic Salmon|salmone atlantico
Atlantic Saury|costardella
Atlantic Wolffish|pesce lupo
Azov Shad|cheppia d'Azov
Baikal Omul|omul del Bajkal
Banded Aracu|Aracu fasciato
Banded Tilapia|Tilapia fasciata
Beluga|storione beluga
Biara|Biara
Bicuda|Bicuda
Bigeye Tuna|tonno obeso
Bigfin Reef Squid|calamaro di scogliera
Bighead Carp|carpa testa grossa
Bigmouth Buffalo|Bufalo boccalarga
Black Bullhead Catfish|pesce gatto
Black Crappie|Crappie nero
Black Drum|Tamburo nero
Black Marlin|marlin nero
Black Sea Roach|Rutilo del Mar Nero
Blacktail Shiner|Shiner codanera
Blacktip Reef Shark|squalo pinna nera del reef
Blue Bream|Abramide blu
Blue Catfish|Pesce gatto blu
Bluegill|Persico sole blu
Bluntnose Minnow|Minnow muso tondo
Bonefish|pesce signora
Bowfin|amia
Brill|rombo liscio
Brook Trout|salmerino di fonte
Brown Bullhead Catfish|pesce gatto bruno
Brown Trout|trota fario
Brycon|Brycon
Bull Shark|squalo leuca
Bull Trout|Trota toro
Bulldog Fish|Pesce bulldog
Burbot|bottatrice
Butterfly Peacock Bass|Pavone farfalla
California Roach|Rutilo della California
Chain Pickerel|Luccio a catena
Channel Catfish|pesce gatto punteggiato
Chinese Sleeper|Dormiglione cinese
Chinook Salmon|salmone reale
Chub|cavedano
Chum Salmon|salmone keta
Clear Muskie|Muskie chiaro
Coalfish|merluzzo carbonaro
Coho Salmon|salmone argentato
Colorado Golden Trout|Trota dorata del Colorado
Common Barbel|barbo
Common Bleak|alborella
Common Bream|abramide
Common Carp|carpa
Common Dace|leucisco
Common Ling|molva
Common Minnow|sanguinerola
Common Nase|naso
Common Roach|rutilo
Common Rudd|scardola
Common Shiner|Shiner comune
Common Snook|Snook comune
Congo Yellowfish|Pesce giallo del Congo
Cornish Jack|Cornish Jack
Creek Brown Trout|trota fario di torrente
Crucian Carp|carassio
Cusk|brosme
Cutthroat Trout|Trota golatagliata
Dogtooth Tuna|tonno dente di cane
Dolly Varden|salmerino Dolly Varden
Electric Eel|anguilla elettrica
Elephant Fish|pesce elefante
Eurasian Ruffe|acerina
European Angler|rana pescatrice
European Bitterling|rodeo amaro
European Brown Trout|trota fario europea
European Eel|anguilla europea
European Flounder|passera
European Grayling|temolo
European Hake|nasello
European Perch|persico reale
European Sea Sturgeon|storione comune
European Weatherfish|cobite di stagno
Flag-Tailed Prochilodus|Prochilodus coda a bandiera
Flathead Catfish|Pesce gatto testapiatta
Flatwhiskered Catfish|Pesce gatto baffi piatti
Florida Gar|Luccio alligatore della Florida
Freshwater Drum|Tamburo d'acqua dolce
Gafftopsail Catfish|Pesce gatto vela
Ghost Carp|carpa fantasma
Giant Grouper|cernia gigante
Giant Sweetlips|Labbradolce gigante
Giant Trevally|carangide gigante
Gilded Catfish|Pesce gatto dorato
Giraffe Catfish|Pesce gatto giraffa
Golden Shiner|Shiner dorato
Golden Tench|tinca dorata
Goliath Tigerfish|pesce tigre golia
Gorgeous Swallowtail|Coda di rondine splendida
Grass Carp|carpa erbivora
Grass Pickerel|Luccio d'erba
Great Barracuda|barracuda
Greater Amberjack|ricciola
Green Jobfish|Jobfish verde
